Ticker,JDK RS Momentum,JDK RS Ratio,Price,Change
ABBV,102.1119208,99.55123692,142.32,4.8
ACLS,100.8082747,100.5938555,175.52,3.8
ADM,103.3141988,100.5927545,81.2,8.8
AR,103.7283226,100.6517894,24.24,7.9
ARCB,103.3539378,102.0749231,108.87,23.7
ASO,101.6085205,99.45894671,54.7,13.2
AVGO,100.7759722,100.9865771,891.89,3.8
BCC,101.6327089,101.7121597,93.72,26.6
BLDR,100.0348044,101.0056286,138.73,14.3
BRO,100.9412502,100.9403267,70.95,7.5
CARR,102.2216852,101.7550942,53.54,15.1
CDNS,101.274494,100.8429129,242.86,3
CEIX,101.4183744,100.9474984,68.21,4.3
COOP,103.095315,102.3325839,54.56,13.1
COST,103.5511862,101.756869,555.79,6.5
CPRT,99.21517902,99.98525457,45.57,4.4
CRC,102.6247058,102.4046011,48.71,11.1
CRVL,100.9971081,99.96173506,213.59,11.3
CSWI,101.8208969,101.5496968,171.55,6.8
DAC,100.3933708,100.1085255,64.37,0.8
DECK,100.6395147,100.674124,537.55,4.8
DFIN,101.1789052,100.1058702,47.71,5.1
ETN,101.6987241,101.3268473,206.04,8.6
FIX,99.53861309,100.1429196,164.38,2
GWW,101.192664,100.5365507,765.17,5
JBL,101.4495855,101.2013165,112.25,6.7
KAI,100.6724293,99.37843465,211.07,-5.4
KLAC,100.3318812,99.87899972,456.06,-1.4
LECO,101.9409616,101.6041396,207.11,6.4
LMB,99.48144443,100.7545072,25.13,4.3
LNG,103.0899947,100.1579886,157.39,6.4
MCK,99.95987241,99.73974108,413.08,2
MMC,100.4838122,99.83981552,190.02,5.7
MOH,102.48464,100.8314313,318.47,14.5
MUSA,101.9543957,101.3846399,317.51,10
NRP,103.293076,101.4242245,56.31,19.9
NSIT,102.0694603,100.5499607,147.61,2.5
NUE,102.0093952,100.7368056,163.29,8.5
NVDA,99.99726082,100.8905641,443.01,3.8
NVMI,100.8048999,100.2371482,114.62,1.4
NVO,100.5499814,99.26074435,82.04,2.7
OBE,102.5664564,99.9269388,6.45,9.7
ODFL,102.6200485,101.7508281,393.74,21.2
ONTO,100.0657767,99.91145436,105.96,1.4
ORLY,99.98196638,99.12827456,956.23,4
PAG,101.1937727,100.9856669,167.73,10.2
PMTS,101.2005792,99.03900667,21.58,-14.8
RMBS,99.97923204,99.89686715,60.53,0.2
RRC,101.5235801,100.4921483,29.85,5.6
RS,102.3492943,101.7011338,283.99,11.7
RSG,100.6495263,100.1138494,154.38,6.7
SAIA,102.6850389,102.6130746,402.72,27.5
SMCI,100.5578971,101.3861971,303.15,31.4
SNPS,100.8386521,100.4837468,454,2.9
SPSC,100.0182809,100.2224634,181.39,-1.8
SPXE,100.189545,100.5062891,96.43,2.9
SPXV,100.6385865,100.7388307,94.89,2.9
SPY,100.6796136,100.0015053,450.59,3.3
SPYX,100.8848708,100.6647771,36.77,2.9
STN,101.5419713,100.9930735,66.96,5.5
TFII,103.6731368,101.0293722,121.42,14.9
TRI,101.3546726,99.94798621,130.67,5.3
TT,101.8640827,100.3150856,192.53,3.7
UFPT,99.5816071,101.0621573,193.58,4.1
URI,102.031697,101.3536505,447.54,11.7
WINA,101.2701736,100.6058492,359.38,2.9
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
